siteclust,subregion,date,species,coral_type,lat,lon,n_alive,n_dead,n_total,pct_mort,dhw,cummaxdhw
1,Upper Keys,2023-08-04,ACER,Outplant,25.22146261977778,-80.21065787388889,58,342,400,0.855,8.08,8.08
1,Upper Keys,2023-08-11,ACER,Outplant,25.22146261977778,-80.21065787388889,281,169,450,0.37555555555555553,10.11,10.11
1,Upper Keys,2023-08-11,APAL,Outplant,25.22146261977778,-80.21065787388889,263,1161,1424,0.8153089887640449,10.11,10.11
1,Upper Keys,2023-08-19,ACER,Outplant,25.22146261977778,-80.21065787388889,115,53,168,0.31547619047619047,12.19,12.19
1,Upper Keys,2023-09-22,ACER,Outplant,25.22146261977778,-80.21065787388889,50,241,291,0.8281786941580757,16.21,16.21
1,Upper Keys,2023-09-22,APAL,Outplant,25.22146261977778,-80.21065787388889,1,0,1,0,16.21,16.21
1,Upper Keys,2023-10-31,APAL,Wild,25.22146261977778,-80.21065787388889,0,71,71,1,7.0200000000000005,16.21
1,Upper Keys,2023-11-07,ACER,Outplant,25.22146261977778,-80.21065787388889,0,141,141,1,4.94,16.21
1,Upper Keys,2023-11-25,ACER,Outplant,25.22146261977778,-80.21065787388889,0,39,39,1,1.6600000000000001,16.21
1,Upper Keys,2024-01-31,ACER,Outplant,25.22146261977778,-80.21065787388889,153,1611,1764,0.9132653061224489,0,16.21
1,Upper Keys,2024-02-01,APAL,Wild,25.22146261977778,-80.21065787388889,1,0,1,0,0,16.21
1,Upper Keys,2024-02-09,ACER,Outplant,25.22146261977778,-80.21065787388889,36,111,147,0.7551020408163265,0,16.21
1,Upper Keys,2024-02-09,APAL,Outplant,25.22146261977778,-80.21065787388889,1,161,162,0.9938271604938271,0,16.21
1,Upper Keys,2024-02-13,ACER,Outplant,25.22146261977778,-80.21065787388889,0,271,271,1,0,16.21
1,Upper Keys,2024-02-13,APAL,Outplant,25.22146261977778,-80.21065787388889,0,97,97,1,0,16.21
1,Upper Keys,2024-03-18,ACER,Outplant,25.22146261977778,-80.21065787388889,62,33,95,0.3473684210526316,0,16.21
10,Upper Keys,2023-10-23,APAL,Wild,25.0337599,-80.3502695,0,12,12,1,9.02,17.03
10,Upper Keys,2023-12-05,APAL,Wild,25.0337599,-80.3502695,0,3,3,1,1.6400000000000001,17.03
10,Upper Keys,2024-02-01,APAL,Wild,25.0337599,-80.3502695,1,0,1,0,0,17.03
11,Upper Keys,2023-10-01,APAL,Wild,25.112720216666666,-80.30377966666667,0,5,5,1,15.58,17.28
11,Upper Keys,2023-10-11,APAL,Wild,25.112720216666666,-80.30377966666667,0,9,9,1,12.38,17.28
11,Upper Keys,2023-12-05,APAL,Wild,25.112720216666666,-80.30377966666667,0,20,20,1,1.61,17.28
12,Upper Keys,2023-07-20,ACER,Outplant,25.134927492105263,-80.29363458333333,8,0,8,0,5.63,5.63
12,Upper Keys,2023-07-20,APAL,Outplant,25.134927492105263,-80.29363458333333,1,124,125,0.992,5.63,5.63
12,Upper Keys,2023-08-18,ACER,Outplant,25.134927492105263,-80.29363458333333,8,160,168,0.9523809523809523,13.73,13.73
12,Upper Keys,2023-08-18,APAL,Outplant,25.134927492105263,-80.29363458333333,10,76,86,0.8837209302325582,13.73,13.73
12,Upper Keys,2023-09-21,ACER,Outplant,25.134927492105263,-80.29363458333333,2,6,8,0.75,17.97,17.97
12,Upper Keys,2023-09-21,APAL,Outplant,25.134927492105263,-80.29363458333333,88,37,125,0.296,17.97,17.97
12,Upper Keys,2023-09-25,APAL,Wild,25.134927492105263,-80.29363458333333,0,148,148,1,17.490000000000002,17.97
12,Upper Keys,2023-10-06,APAL,Wild,25.134927492105263,-80.29363458333333,0,5,5,1,14.280000000000001,17.97
12,Upper Keys,2023-10-11,APAL,Wild,25.134927492105263,-80.29363458333333,0,1,1,1,12.6,17.97
12,Upper Keys,2023-11-05,ACER,Outplant,25.134927492105263,-80.29363458333333,0,8,8,1,5.54,17.97
12,Upper Keys,2023-11-05,APAL,Outplant,25.134927492105263,-80.29363458333333,125,0,125,0,5.54,17.97
12,Upper Keys,2023-11-27,APAL,Wild,25.134927492105263,-80.29363458333333,0,3,3,1,1.8,17.97
12,Upper Keys,2023-12-05,APAL,Wild,25.134927492105263,-80.29363458333333,0,57,57,1,1.6400000000000001,17.97
12,Upper Keys,2024-02-09,ACER,Outplant,25.134927492105263,-80.29363458333333,13,140,153,0.9150326797385621,0,17.97
12,Upper Keys,2024-02-09,APAL,Outplant,25.134927492105263,-80.29363458333333,0,89,89,1,0,17.97
13,Middle Keys,2023-09-25,APAL,Wild,24.939072,-80.484465,0,6,6,1,18.37,18.78
14,Upper Keys,2023-12-04,APAL,Wild,25.0137503375,-80.37158037500001,0,53,53,1,1.59,15.790000000000001
15,Upper Keys,2023-10-31,APAL,Wild,25.2092,-80.243,0,9,9,1,7.24,17.54
16,Upper Keys,2023-12-04,APAL,Wild,25.01575,-80.405216,0,30,30,1,1.85,17.07
17,Upper Keys,2023-08-12,ACER,Outplant,25.209177501875,-80.2191835234375,113,88,201,0.43781094527363185,10.43,10.43
17,Upper Keys,2023-08-12,APAL,Outplant,25.209177501875,-80.2191835234375,55,10,65,0.15384615384615385,10.43,10.43
