site,lat,lon,subregion
YMQ23-11,24.432,-82.44391,Marquesas
YMQ23-12,24.44746,-82.61051,Marquesas
YMQ23-13,24.52776,-82.57036,Marquesas
YMQ23-14,24.52911,-82.5707,Marquesas
YMQ23-15,24.47985,-82.04082,Marquesas
YMQ23-16,24.50506,-82.30143,Marquesas
YMQ23-17,24.50456,-82.30259,Marquesas
YMQ23-18,24.49991,-82.31919,Marquesas
YMQ23-19,24.45658,-82.58872,Marquesas
YMQ23-2,24.50271,-82.31048,Marquesas
YMQ23-20,24.42868,-82.54236,Marquesas
YMQ23-22,24.45295,-82.1421,Marquesas
YMQ23-23,24.44089,-82.37413,Marquesas
YMQ23-24,24.45439,-82.14775,Marquesas
YMQ23-25,24.44789,-82.31287,Marquesas
YMQ23-26,24.45348,-82.29401,Marquesas
YMQ23-27,24.45817,-82.16579,Marquesas
YMQ23-28,24.45922,-82.25597,Marquesas
YMQ23-29,24.44308,-82.34591,Marquesas
YMQ23-3,24.43734,-82.61688,Marquesas
YMQ23-30,24.4793,-82.11885,Marquesas
YMQ23-31,24.47666,-82.09169,Marquesas
YMQ23-32,24.46532,-82.20272,Marquesas
YMQ23-33,24.46832,-82.04002,Marquesas
YMQ23-34,24.46124,-82.26455,Marquesas
YMQ23-35,24.47056,-82.59806,Marquesas
YMQ23-36,24.47469,-82.15716,Marquesas
YMQ23-37,24.43262,-82.43807,Marquesas
YMQ23-38,24.43826,-82.41137,Marquesas
YMQ23-39,24.45255,-82.12327,Marquesas
YMQ23-4,24.45835,-82.57834,Marquesas
YMQ23-40,24.47601,-82.20581,Marquesas
YMQ23-41,24.45886,-82.20629,Marquesas
YMQ23-42,24.45498,-82.17336,Marquesas
YMQ23-43,24.45097,-82.09677,Marquesas
YMQ23-44,24.47484,-82.16978,Marquesas
YMQ23-45,24.45855,-82.2276,Marquesas
YMQ23-46,24.4512,-82.08747,Marquesas
YMQ23-47,24.48009,-82.1511,Marquesas
YMQ23-48,24.44585,-82.01021,Marquesas
YMQ23-49,24.4633,-81.98397,Marquesas
YMQ23-51,24.45606,-82.1902,Marquesas
YMQ23-52,24.45181,-81.95287,Lower Keys
YMQ23-54,24.44609,-82.41616,Marquesas
YMQ23-55,24.47476,-82.08118,Marquesas
YMQ23-56,24.48299,-81.95882,Lower Keys
YMQ23-57,24.50277,-82.29808,Marquesas
YMQ23-58,24.45176,-82.59228,Marquesas
YMQ23-6,24.45453,-81.98585,Lower Keys
YMQ23-61,24.44821,-82.56074,Marquesas
YMQ23-63,24.44447,-81.95454,Lower Keys
YMQ23-66,24.44964,-82.36244,Marquesas
YMQ23-7,24.47822,-82.01743,Marquesas
YMQ23-70,24.45597,-82.56596,Marquesas
YMQ23-72,24.45042,-81.98044,Lower Keys
YMQ23-73,24.47318,-82.02544,Marquesas
YMQ23-8,24.43289,-82.46977,Marquesas
YMQ23-9,24.42501,-82.46384,Marquesas
