site,lat,lon,subregion
Y1141,25.87621667,-80.1078,Broward-Miami
Y1143,25.86625,-80.10946667,Broward-Miami
Y1144,25.85751667,-80.08813333,Broward-Miami
Y1145,25.85728333,-80.10903333,Broward-Miami
Y1146,25.85316667,-80.10508333,Broward-Miami
Y1147,25.85136667,-80.10705667,Broward-Miami
Y1148,25.84758333,-80.09563333,Broward-Miami
Y1149,25.83413333,-80.09221667,Broward-Miami
Y1150,25.83146667,-80.11068333,Broward-Miami
Y1151,25.82473333,-80.10771667,Broward-Miami
Y1152,25.82188333,-80.09733333,Broward-Miami
Y1153,25.81026667,-80.10936667,Broward-Miami
Y1154,25.80756667,-80.10993333,Broward-Miami
Y1155,25.80346667,-80.10643333,Broward-Miami
Y1156,25.79581667,-80.10053333,Broward-Miami
Y1157,25.78765,-80.11608333,Broward-Miami
Y1158,25.78545,-80.10808333,Broward-Miami
Y1159,25.78191667,-80.12105,Broward-Miami
Y1160,25.78055,-80.12113333,Broward-Miami
Y1161,25.77661667,-80.09343333,Broward-Miami
Y1162,25.77588333,-80.09768333,Broward-Miami
Y1163,25.77318333,-80.08921667,Broward-Miami
Y1164,25.77133333,-80.09023333,Broward-Miami
Y1165,25.73626667,-80.11488333,Biscayne
Y1166,25.68875,-80.0966,Biscayne
Y1167,25.67905,-80.0962,Biscayne
Y1168,25.67028333,-80.09963333,Biscayne
Y1169,25.64298333,-80.10015,Biscayne
Y1170,25.626889,-80.095815,Biscayne
Y1171,25.618678,-80.122327,Biscayne
Y1172,25.59683,-80.103989,Biscayne
Y1173,25.588505,-80.094611,Biscayne
Y1174,25.571904,-80.126665,Biscayne
Y1175,25.567169,-80.101055,Biscayne
Y1176,25.538786,-80.11313,Biscayne
Y1177,25.535915,-80.113358,Biscayne
Y1178,25.531118,-80.133944,Biscayne
Y1179,25.528559,-80.135601,Biscayne
Y1181,25.514452,-80.124331,Biscayne
Y1183,25.501192,-80.13953,Biscayne
Y1184,25.488817,-80.109287,Biscayne
Y1185,25.486373,-80.151561,Biscayne
Y1187,25.478133,-80.148519,Biscayne
Y1188,25.476893,-80.141032,Biscayne
Y1190,25.465032,-80.155994,Biscayne
Y1191,25.463196,-80.128375,Biscayne
Y1192,25.462411,-80.14586,Biscayne
Y1193,25.4576,-80.153125,Biscayne
Y1194,25.456554,-80.147945000000007,Biscayne
Y1195,25.452344,-80.147416,Biscayne
Y1196,25.45223,-80.184151,Biscayne
Y1197,25.449535,-80.124275,Biscayne
Y1198,25.446339,-80.150176,Biscayne
Y1199,25.444984,-80.139729,Biscayne
Y1200,25.439179,-80.137201,Biscayne
Y1201,25.437119,-80.146960000000007,Biscayne
Y1202,25.436577,-80.13155,Biscayne
Y1203,25.434709,-80.121121,Biscayne
Y1204,25.424906,-80.143068,Biscayne
Y1205,25.424007,-80.144039,Biscayne
Y1206,25.409023,-80.163758,Biscayne
Y1207,25.40849,-80.166132,Biscayne
Y1208,25.407249,-80.157827,Biscayne
Y1209,25.403807,-80.164096,Biscayne
Y1210,25.400336,-80.169476,Biscayne
Y1211,25.398184,-80.128842,Biscayne
Y1212,25.394331,-80.165155,Biscayne
Y1213,25.376635,-80.172316,Biscayne
Y1214,25.371794,-80.151731,Biscayne
Y1215,25.362722,-80.164378,Biscayne
Y1216,25.358331,-80.189536,Biscayne
Y1219,25.343443,-80.190463,Biscayne
Y1220,25.340884,-80.191347,Biscayne
Y1221,25.331346,-80.180972,Biscayne
Y1222,25.330564,-80.178783,Biscayne
Y1223,25.327143,-80.18052,Biscayne
Y1224,25.319354,-80.183878000000007,Biscayne
Y1225,25.319322,-80.216824,Biscayne
Y1226,25.319084,-80.20752,Biscayne
Y1227,25.311995,-80.217876,Biscayne
Y1228,25.30937,-80.20139,Biscayne
Y1229,25.307327,-80.216917,Upper Keys
Y1230,25.296764,-80.22387,Upper Keys
Y1233,25.27223,-80.202487,Upper Keys
Y1234,25.268842,-80.244713,Upper Keys
Y1235,25.253249,-80.210376,Upper Keys
Y1236,25.246207,-80.19764,Upper Keys
Y1237,25.241554,-80.265153,Upper Keys
Y1238,25.240287,-80.236689,Upper Keys
Y1239,25.237566,-80.267198,Upper Keys
Y1240,25.229641,-80.234114,Upper Keys
Y1242,25.223225,-80.235072,Upper Keys
Y1243,25.222442,-80.28016,Upper Keys
Y1244,25.216861,-80.264633,Upper Keys
Y1245,25.216457,-80.2394,Upper Keys
Y1246,25.216437,-80.287412,Upper Keys
Y1247,25.215874,-80.277443,Upper Keys
Y1248,25.214018,-80.284719,Upper Keys
Y1250,25.210477,-80.241923,Upper Keys
Y1251,25.184299,-80.245882,Upper Keys
Y1252,25.183156,-80.251298,Upper Keys
Y1253,25.165086,-80.274428,Upper Keys
Y1254,25.16316,-80.260284,Upper Keys
Y1256,25.1397,-80.284461,Upper Keys
Y1257,25.138865,-80.260579,Upper Keys
Y1258,25.135631,-80.316878,Upper Keys
Y1259,25.122498,-80.297262,Upper Keys
Y1260,25.122149,-80.283636,Upper Keys
Y1261,25.113737,-80.30201,Upper Keys
Y1262,25.111057,-80.340493,Upper Keys
Y1263,25.083481,-80.372711,Upper Keys
Y1264,25.077773,-80.335431,Upper Keys
Y1265,25.068453,-80.371127,Upper Keys
Y1266,25.057875,-80.327063,Upper Keys
Y1268,25.045068,-80.394583,Upper Keys
Y1269,25.044604,-80.406069,Upper Keys
Y1270,25.042031,-80.391426,Upper Keys
Y1271,25.039763,-80.370018,Upper Keys
Y1272,25.034041,-80.349,Upper Keys
Y1273,25.031783,-80.382071,Upper Keys
Y1274,25.030522,-80.355735,Upper Keys
Y1275,25.017406,-80.365441,Upper Keys
Y1276,25.017161,-80.372315,Upper Keys
Y1277,25.016002,-80.37342,Upper Keys
Y1278,25.013818,-80.372618,Upper Keys
Y1281,25.008738,-80.378629,Upper Keys
Y1282,25.007207,-80.429811,Upper Keys
Y1283,24.997085,-80.439723,Upper Keys
Y1284,24.994568,-80.442228,Upper Keys
Y1285,24.990705,-80.465161,Upper Keys
Y1286,24.983502,-80.439604,Upper Keys
Y1287,24.969866,-80.446428,Upper Keys
Y1288,24.957659,-80.534437,Mid-Upper Keys Transition
Y1289,24.956928,-80.535959,Mid-Upper Keys Transition
Y1290,24.956768,-80.543987,Mid-Upper Keys Transition
Y1291,24.953482,-80.548103,Mid-Upper Keys Transition
Y1292,24.950852,-80.554364,Mid-Upper Keys Transition
Y1293,24.95051,-80.462858,Mid-Upper Keys Transition
Y1294,24.948398,-80.547657,Mid-Upper Keys Transition
Y1295,24.946467,-80.468819,Mid-Upper Keys Transition
Y1296,24.939607,-80.54889,Mid-Upper Keys Transition
Y1297,24.938758,-80.491385,Mid-Upper Keys Transition
