data_provider,site,lat,lon,date,species,coral_type,n_alive,n_dead,n_geno,n_total,pct_mort,n_total_cat,subregion,siteclust
mir,mir.295,24.45935,-81.84537,2024-02-13,APAL,Outplant,4,62,NA,66,0.9393939393939394,"[10,100)",Lower Keys,2
mir,mir.35,24.45929,-81.84502,2024-02-13,ACER,Outplant,0,34,NA,34,1,"[10,100)",Lower Keys,2
mir,mir.35,24.45929,-81.84502,2023-08-15,ACER,Outplant,39,11,NA,50,0.22,"[10,100)",Lower Keys,2
mir,mir.131,24.4592,-81.84578,2024-02-13,ACER,Outplant,0,21,NA,21,1,"[10,100)",Lower Keys,2
mir,mir.131,24.4592,-81.84578,2024-02-13,APAL,Outplant,1,52,NA,53,0.9811320754716981,"[10,100)",Lower Keys,2
mir,mir.80,24.45918,-81.84591,2024-02-13,APAL,Outplant,0,53,NA,53,1,"[10,100)",Lower Keys,2
mir,mir.80,24.45918,-81.84591,2023-08-15,APAL,Outplant,3,31,NA,34,0.9117647058823529,"[10,100)",Lower Keys,2
mir,mir.126,24.45915,-81.8431,2023-10-10,ACER,Outplant,0,13,NA,13,1,"[10,100)",Lower Keys,2
mir,mir.152,24.45905,-81.84366,2023-08-15,ACER,Outplant,10,2,NA,12,0.16666666666666666,"[10,100)",Lower Keys,2
mir,mir.152,24.45905,-81.84366,2024-02-13,ACER,Outplant,0,12,NA,12,1,"[10,100)",Lower Keys,2
mir,mir.281,24.45888,-81.84304,2023-08-15,ACER,Outplant,11,1,NA,12,0.08333333333333333,"[10,100)",Lower Keys,2
mir,mir.281,24.45888,-81.84304,2024-02-13,ACER,Outplant,0,25,NA,25,1,"[10,100)",Lower Keys,2
bnp,bnp.BB-Mote1,25.31886,-80.18461,2024-03-01,APAL,Outplant,3,97,26,100,0.97,"[100,1e+03)",Biscayne,23
bnp,bnp.BB-Mote2,25.31633,-80.18793,2024-03-01,APAL,Outplant,20,80,35,100,0.8,"[100,1e+03)",Biscayne,23
bnp,bnp.Shadow-Mote3,25.47782,-80.14075,2024-03-01,APAL,Outplant,7,93,11,100,0.93,"[100,1e+03)",Biscayne,58
bnp,bnp.Brewster Reef-RSMAS,25.56662,-80.09994,2024-05-01,APAL,Outplant,2,98,NA,100,0.98,"[100,1e+03)",Biscayne,61
