subregion,date,dhw
Broward-Miami,2023-06-01,0
Broward-Miami,2023-06-02,0
Broward-Miami,2023-06-03,0
Broward-Miami,2023-06-04,0
Broward-Miami,2023-06-05,0
Broward-Miami,2023-06-06,0
Broward-Miami,2023-06-07,0
Broward-Miami,2023-06-08,0
Broward-Miami,2023-06-09,0
Broward-Miami,2023-06-10,0
Broward-Miami,2023-06-11,0
Broward-Miami,2023-06-12,0
Broward-Miami,2023-06-13,0
Broward-Miami,2023-06-14,0
Broward-Miami,2023-06-15,0
Broward-Miami,2023-06-16,0
Broward-Miami,2023-06-17,0
Broward-Miami,2023-06-18,0
Broward-Miami,2023-06-19,0
Broward-Miami,2023-06-20,0
Broward-Miami,2023-06-21,0
Broward-Miami,2023-06-22,0
Broward-Miami,2023-06-23,0
Broward-Miami,2023-06-24,0
Broward-Miami,2023-06-25,0
Broward-Miami,2023-06-26,0
Broward-Miami,2023-06-27,0
Broward-Miami,2023-06-28,0
Broward-Miami,2023-06-29,0
Broward-Miami,2023-06-30,0
Broward-Miami,2023-07-01,0
Broward-Miami,2023-07-02,0
Broward-Miami,2023-07-03,0
Broward-Miami,2023-07-04,0
Broward-Miami,2023-07-05,0.15181818181818182
Broward-Miami,2023-07-06,0.31727272727272726
Broward-Miami,2023-07-07,0.5118181818181818
Broward-Miami,2023-07-08,0.6890909090909091
Broward-Miami,2023-07-09,0.85
Broward-Miami,2023-07-10,1.0154545454545454
Broward-Miami,2023-07-11,1.180909090909091
Broward-Miami,2023-07-12,1.4009090909090909
Broward-Miami,2023-07-13,1.6227272727272728
Broward-Miami,2023-07-14,1.8663636363636364
Broward-Miami,2023-07-15,2.097272727272727
Broward-Miami,2023-07-16,2.311818181818182
Broward-Miami,2023-07-17,2.4927272727272727
Broward-Miami,2023-07-18,2.6754545454545458
Broward-Miami,2023-07-19,2.8745454545454545
Broward-Miami,2023-07-20,3.0509090909090912
Broward-Miami,2023-07-21,3.2272727272727275
Broward-Miami,2023-07-22,3.4372727272727275
Broward-Miami,2023-07-23,3.6399999999999997
Broward-Miami,2023-07-24,3.8363636363636364
Broward-Miami,2023-07-25,4.034545454545454
Broward-Miami,2023-07-26,4.201818181818182
Broward-Miami,2023-07-27,4.372727272727273
Broward-Miami,2023-07-28,4.529090909090909
Broward-Miami,2023-07-29,4.529090909090909
Broward-Miami,2023-07-30,4.529090909090909
Broward-Miami,2023-07-31,4.529090909090909
Broward-Miami,2023-08-01,4.6854545454545455
Broward-Miami,2023-08-02,4.780909090909091
Broward-Miami,2023-08-03,4.940909090909091
Broward-Miami,2023-08-04,5.116363636363636
Broward-Miami,2023-08-05,5.304545454545455
Broward-Miami,2023-08-06,5.503636363636364
Broward-Miami,2023-08-07,5.700909090909091
Broward-Miami,2023-08-08,5.889090909090909
Broward-Miami,2023-08-09,6.1027272727272726
Broward-Miami,2023-08-10,6.3090909090909095
Broward-Miami,2023-08-11,6.520909090909091
Broward-Miami,2023-08-12,6.758181818181818
Broward-Miami,2023-08-13,6.97
Broward-Miami,2023-08-14,7.1463636363636365
Broward-Miami,2023-08-15,7.329090909090909
Broward-Miami,2023-08-16,7.5236363636363635
Broward-Miami,2023-08-17,7.705454545454546
Broward-Miami,2023-08-18,7.913636363636364
Broward-Miami,2023-08-19,8.073636363636364
Broward-Miami,2023-08-20,8.252727272727274
Broward-Miami,2023-08-21,8.437272727272727
Broward-Miami,2023-08-22,8.602727272727273
Broward-Miami,2023-08-23,8.772727272727273
Broward-Miami,2023-08-24,8.950909090909091
Broward-Miami,2023-08-25,9.117272727272727
Broward-Miami,2023-08-26,9.277272727272727
Broward-Miami,2023-08-27,9.456363636363637
Broward-Miami,2023-08-28,9.631818181818183
Broward-Miami,2023-08-29,9.805454545454547
Broward-Miami,2023-08-30,9.985454545454546
Broward-Miami,2023-08-31,9.985454545454546
Broward-Miami,2023-09-01,9.985454545454546
Broward-Miami,2023-09-02,9.985454545454546
Broward-Miami,2023-09-03,9.985454545454546
Broward-Miami,2023-09-04,9.985454545454546
Broward-Miami,2023-09-05,9.985454545454546
Broward-Miami,2023-09-06,9.985454545454546
Broward-Miami,2023-09-07,9.985454545454546
Broward-Miami,2023-09-08,9.985454545454546
Broward-Miami,2023-09-09,9.985454545454546
Broward-Miami,2023-09-10,9.985454545454546
Broward-Miami,2023-09-11,9.985454545454546
Broward-Miami,2023-09-12,9.985454545454546
Broward-Miami,2023-09-13,9.985454545454546
Broward-Miami,2023-09-14,9.985454545454546
